technology,year,parameter,value,unit,source,further description,file_path
biomass EOP,2030,efficiency-heat,0.71,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Heat efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass EOP,2030,investment,3210.28,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Nominal investment ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass EOP,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass HOP,2030,FOM,5.75,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw HOP:  Fixed O&M, heat output",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass HOP,2030,VOM,2.78,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",09c Straw HOP:  Variable O&M heat output,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass HOP,2030,efficiency,1.03,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw HOP:  Total efficiency , net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass HOP,2030,investment,832.63,EUR/kW_th - heat output,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",09c Straw HOP:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass HOP,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",09c Straw HOP:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass boiler,2030,FOM,7.49,%/year,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","204 Biomass boiler, automatic:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass boiler,2030,efficiency,0.86,per unit,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","204 Biomass boiler, automatic:  Heat efficiency, annual average, net",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass boiler,2030,investment,649.3,EUR/kW_th,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","204 Biomass boiler, automatic:  Specific investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass boiler,2030,lifetime,20.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","204 Biomass boiler, automatic:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass boiler,2030,pelletizing cost,9.0,EUR/MWh_pellets,Assumption based on doi:10.1016/j.rser.2019.109506,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
cement capture,2030,FOM,3.0,%/year,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
cement capture,2030,capture_rate,0.9,per unit,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
cement capture,2030,compression-electricity-input,0.08,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
cement capture,2030,compression-heat-output,0.14,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
cement capture,2030,electricity-input,0.02,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
cement capture,2030,heat-input,0.72,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
cement capture,2030,heat-output,1.54,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
cement capture,2030,investment,2600000.0,EUR/(tCO2/h),"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
cement capture,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central air-sourced heat pump,2030,FOM,0.23,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central air-sourced heat pump,2030,VOM,2.51,EUR/MWh_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central air-sourced heat pump,2030,efficiency,3.6,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Total efficiency , net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central air-sourced heat pump,2030,investment,856.25,EUR/kW_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Specific investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central air-sourced heat pump,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal CHP,2030,FOM,1.63,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal CHP,2030,VOM,2.84,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal CHP,2030,c_b,1.01,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Cb coefficient,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal CHP,2030,c_v,0.15,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Cv coefficient,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal CHP,2030,efficiency,0.52,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","01 Coal CHP:  Electricity efficiency, condensation mode, net",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal CHP,2030,investment,1860.47,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal CHP,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP,2030,FOM,3.32,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP,2030,VOM,4.2,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP,2030,c_b,1.0,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP,2030,c_v,0.17,per unit,DEA (loss of fuel for additional heat), from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP,2030,efficiency,0.41,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Electricity efficiency, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP,2030,investment,560.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Nominal investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP,2030,p_nom_ratio,1.0,per unit,, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP CC,2030,FOM,3.32,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP CC,2030,VOM,4.2,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP CC,2030,c_b,1.0,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP CC,2030,efficiency,0.41,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Electricity efficiency, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP CC,2030,investment,560.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Nominal investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas CHP CC,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas boiler,2030,FOM,3.8,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",44 Natural Gas DH Only:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas boiler,2030,VOM,1.0,EUR/MWh_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",44 Natural Gas DH Only:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas boiler,2030,efficiency,1.04,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","44 Natural Gas DH Only:  Total efficiency , net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas boiler,2030,investment,50.0,EUR/kW_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",44 Natural Gas DH Only:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central gas boiler,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",44 Natural Gas DH Only:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal boiler,2030,FOM,2.5,%/year,IRENA_Remap_2030_technology_cost,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal boiler,2030,VOM,1.1,EUR/MWh_th,same as gas boiler,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal boiler,2030,efficiency,0.9,per unit,IRENA_Remap_2030_technology_cost,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal boiler,2030,investment,300.0,USD/kW_th,IRENA_Remap_2030_technology_cost,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central coal boiler,2030,lifetime,25.0,years,IRENA_Remap_2030_technology_cost,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central ground-sourced heat pump,2030,FOM,0.39,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Absorption heat pump, DH:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central ground-sourced heat pump,2030,VOM,1.25,EUR/MWh_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Absorption heat pump, DH:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central ground-sourced heat pump,2030,efficiency,1.73,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Absorption heat pump, DH:  Total efficiency , net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central ground-sourced heat pump,2030,investment,507.6,EUR/kW_th excluding drive energy,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Absorption heat pump, DH:  Nominal investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central ground-sourced heat pump,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Absorption heat pump, DH:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central hydrogen CHP,2030,FOM,5.0,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central hydrogen CHP,2030,c_b,1.25,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Cb coefficient,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central hydrogen CHP,2030,efficiency,0.5,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","12 LT-PEMFC CHP:  Electricity efficiency, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central hydrogen CHP,2030,investment,1100.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central hydrogen CHP,2030,lifetime,10.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central resistive heater,2030,FOM,1.7,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",41 Electric Boilers:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central resistive heater,2030,VOM,1.0,EUR/MWh_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",41 Electric Boilers:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central resistive heater,2030,efficiency,0.99,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","41 Electric Boilers:  Total efficiency , net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central resistive heater,2030,investment,60.0,EUR/kW_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",41 Electric Boilers:  Nominal investment; 10/15 kV; >10 MW,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central resistive heater,2030,lifetime,20.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",41 Electric Boilers:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solar thermal,2030,FOM,1.4,%/year,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solar thermal,2030,investment,140000.0,EUR/1000m2,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solar thermal,2030,lifetime,20.0,years,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP,2030,FOM,2.87,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP,2030,VOM,4.58,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Variable O&M ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP,2030,c_b,0.35,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP,2030,c_v,1.0,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP,2030,efficiency,0.27,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Electricity efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP,2030,efficiency-heat,0.82,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Heat efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP,2030,investment,3349.49,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Nominal investment ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP,2030,p_nom_ratio,1.0,per unit,, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP CC,2030,FOM,2.87,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP CC,2030,VOM,4.58,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Variable O&M ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP CC,2030,c_b,0.35,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP CC,2030,c_v,1.0,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP CC,2030,efficiency,0.27,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Electricity efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP CC,2030,efficiency-heat,0.82,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Heat efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP CC,2030,investment,4921.02,EUR/kW_e,Combination of central solid biomass CHP CC and solid biomass boiler steam,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP CC,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP powerboost CC,2030,FOM,2.87,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP powerboost CC,2030,VOM,4.58,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Variable O&M ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP powerboost CC,2030,c_b,0.35,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP powerboost CC,2030,c_v,1.0,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP powerboost CC,2030,efficiency,0.27,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Electricity efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP powerboost CC,2030,efficiency-heat,0.82,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Heat efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP powerboost CC,2030,investment,3349.49,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Nominal investment ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central solid biomass CHP powerboost CC,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central water tank storage,2030,FOM,0.55,%/year,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",140 PTES seasonal:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central water tank storage,2030,investment,0.54,EUR/kWhCapacity,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",140 PTES seasonal:  Specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
central water tank storage,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",140 PTES seasonal:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
clean water tank storage,2030,FOM,2.0,%/year,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
clean water tank storage,2030,investment,67.63,EUR/m^3-H2O,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
clean water tank storage,2030,lifetime,30.0,years,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
coal,2030,CO2 intensity,0.34,tCO2/MWh_th,Entwicklung der spezifischen Kohlendioxid-Emissionen des deutschen Strommix in den Jahren 1990 - 2018,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
coal,2030,FOM,1.6,%/year,Lazard s Levelized Cost of Energy Analysis - Version 13.0,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
coal,2030,VOM,3.5,EUR/MWh_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
coal,2030,efficiency,0.33,per unit,Lazard s Levelized Cost of Energy Analysis - Version 13.0,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
coal,2030,fuel,8.15,EUR/MWh_th,BP 2019,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
coal,2030,investment,3845.51,EUR/kW_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
coal,2030,lifetime,40.0,years,Lazard s Levelized Cost of Energy Analysis - Version 13.0,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
csp-tower,2030,FOM,1.1,%/year,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
csp-tower,2030,investment,98.15,"EUR/kW_th,dp",ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
csp-tower,2030,lifetime,30.0,years,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
csp-tower TES,2030,FOM,1.1,%/year,see solar-tower.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
csp-tower TES,2030,investment,13.15,EUR/kWh_th,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
